Country,All,M,F,Gender life gap,Region,Continent,U5 Mortality Rate,GPI Score
Turkmenistan,68.4,67.7,71.7,7.0,Central Asia,Asia,42.0,2.265
Senegal,67.9,65.8,69.9,4.1,Western Africa,Africa,45.3,1.883
Pakistan,67.4,66.4,68.4,1.9,Southern Asia,Asia,67.2,3.369
Myanmar,67.1,65.1,70.1,6.1,South-eastern Asia,Asia,44.7,2.393
Djibouti,67.1,65.1,69.4,4.2,Eastern Africa,Africa,57.5,2.207
Madagascar,67.0,65.4,68.7,3.2,Eastern Africa,Africa,50.6,1.867
Kenya,67.0,66.9,69.0,4.7,Eastern Africa,Africa,43.2,2.3
Ethiopia,66.6,65.0,68.5,3.8,Eastern Africa,Africa,50.7,2.434
Gabon,66.5,65.4,68.7,4.7,Middle Africa,Africa,42.5,2.112
Eritrea,66.3,64.2,68.6,4.4,Eastern Africa,Africa,40.5,2.504
Yemen,66.1,63.4,67.5,3.4,Western Asia,Asia,58.4,3.526
Sudan,65.5,65.5,67.2,3.6,Northern Africa,Africa,58.4,2.921
Mauritania,65.0,65.0,66.5,3.2,Western Africa,Africa,72.9,2.333
Afghanistan,64.8,62.7,64.9,3.0,Southern Asia,Asia,60.3,3.573
Papua New Guinea,64.5,63.3,65.8,2.6,Melanesia,Oceania,44.8,2.118
Malawi,64.3,61.1,67.4,6.2,Eastern Africa,Africa,41.6,1.728
South Africa,64.1,60.7,67.7,6.9,Southern Africa,Africa,34.5,2.399
Ghana,64.1,63.0,65.2,2.2,Western Africa,Africa,46.2,1.796
Liberia,64.1,62.7,65.5,2.8,Western Africa,Africa,84.6,1.889
Haiti,64.0,61.8,66.2,4.3,Caribbean,North America,62.8,2.052
Zambia,63.9,60.8,66.9,5.9,Eastern Africa,Africa,61.7,1.805
Namibia,63.7,60.7,66.5,5.8,Southern Africa,Africa,42.4,1.892
Uganda,63.4,61.0,65.6,4.5,Eastern Africa,Africa,45.8,2.196
Niger,62.4,61.3,63.6,2.3,Western Africa,Africa,80.4,2.394
Benin,61.8,60.2,63.3,3.1,Western Africa,Africa,90.3,1.986
Guinea,61.6,60.9,62.1,1.2,Western Africa,Africa,98.8,2.125
Burkina Faso,61.6,60.7,62.3,1.5,Western Africa,Africa,87.5,2.176
Burundi,61.6,59.8,63.4,3.6,Eastern Africa,Africa,56.5,2.52
Zimbabwe,61.5,59.8,62.9,3.1,Eastern Africa,Africa,54.6,2.463
Angola,61.2,58.4,64.0,5.6,Middle Africa,Africa,74.7,2.012
Togo,61.0,60.2,61.9,1.7,Western Africa,Africa,66.9,2.205
Mozambique,60.9,57.8,63.7,5.9,Eastern Africa,Africa,74.2,2.099
Cameroon,59.3,58.0,60.6,2.5,Middle Africa,Africa,74.8,2.538
Mali,59.3,58.5,60.1,1.5,Western Africa,Africa,94.0,2.71
Equatorial Guinea,58.7,57.7,59.9,2.2,Middle Africa,Africa,81.8,1.957
Guinea-Bissau,58.3,56.3,60.2,3.9,Western Africa,Africa,78.5,2.237
South Sudan,57.9,56.4,59.4,3.0,Eastern Africa,Africa,96.2,3.285
Nigeria,54.7,53.8,55.6,1.7,Western Africa,Africa,117.2,2.898
Sierra Leone,54.7,53.9,55.5,1.6,Western Africa,Africa,109.2,1.822
Lesotho,54.3,51.2,57.6,6.4,Southern Africa,Africa,86.4,2.167
Chad,54.2,52.8,55.7,2.8,Middle Africa,Africa,113.8,2.522
Central African Republic,53.3,51.1,55.5,4.4,Middle Africa,Africa,110.1,3.218
